Activity,Frequency,Relative frequency
01_HOOFD_090-complete,254,0.49 %
08_AWB45_040-complete,247,0.47 %
01_HOOFD_470-complete,247,0.47 %
01_HOOFD_205-complete,238,0.46 %
01_HOOFD_519-complete,226,0.43 %
01_HOOFD_270-complete,200,0.38 %
01_HOOFD_110_2-complete,199,0.38 %
08_AWB45_025-complete,181,0.35 %
01_HOOFD_110_1-complete,171,0.33 %
03_GBH_005-complete,169,0.32 %
01_HOOFD_055-complete,169,0.32 %
01_HOOFD_190-complete,160,0.31 %
01_BB_770-complete,157,0.3 %
09_AWB45_005-complete,154,0.29 %
08_AWB45_045-complete,149,0.29 %
14_VRIJ_010-complete,148,0.28 %
01_HOOFD_810-complete,144,0.28 %
01_HOOFD_190_2-complete,141,0.27 %
01_HOOFD_190_1-complete,140,0.27 %
08_AWB45_051_0-complete,137,0.26 %
01_BB_540-complete,135,0.26 %
07_OPS_010-complete,133,0.25 %
08_AWB45_020_0-complete,132,0.25 %
01_HOOFD_250_0-complete,132,0.25 %
01_HOOFD_516-complete,130,0.25 %
06_VD_030_2-complete,127,0.24 %
06_VD_020-complete,125,0.24 %
06_VD_030_1-complete,125,0.24 %
01_HOOFD_193-complete,122,0.23 %
01_HOOFD_820-complete,122,0.23 %
01_HOOFD_540-complete,113,0.22 %
01_HOOFD_814-complete,108,0.21 %
01_HOOFD_815-complete,107,0.2 %
04_BPT_020-complete,106,0.2 %
01_BB_775-complete,105,0.2 %
01_HOOFD_809-complete,105,0.2 %
06_VD_030_3-complete,100,0.19 %
01_HOOFD_811-complete,100,0.19 %
01_HOOFD_099-complete,99,0.19 %
01_HOOFD_505-complete,96,0.18 %
04_BPT_030-complete,94,0.18 %
04_BPT_010-complete,93,0.18 %
01_HOOFD_445-complete,87,0.17 %
01_HOOFD_440_1-complete,87,0.17 %
01_HOOFD_440_2-complete,87,0.17 %
06_VD_060_2-complete,85,0.16 %
10_UOV_010-complete,83,0.16 %
01_HOOFD_465-complete,83,0.16 %
01_HOOFD_460-complete,83,0.16 %
10_UOV_050_2-complete,81,0.16 %
10_UOV_060-complete,81,0.16 %
10_UOV_050_1-complete,76,0.15 %
10_UOV_030-complete,76,0.15 %
01_HOOFD_809c-complete,75,0.14 %
01_HOOFD_446-complete,71,0.14 %
05_EIND_020-complete,68,0.13 %
01_HOOFD_492_0-complete,67,0.13 %
01_HOOFD_493-complete,67,0.13 %
06_VD_030_4-complete,64,0.12 %
01_HOOFD_450-complete,64,0.12 %
01_HOOFD_790-complete,64,0.12 %
06_VD_035-complete,63,0.12 %
05_EIND_030_1-complete,63,0.12 %
01_HOOFD_455-complete,62,0.12 %
05_EIND_030_2-complete,62,0.12 %
06_VD_060_3-complete,61,0.12 %
06_VD_060-complete,58,0.11 %
06_VD_070-complete,58,0.11 %
06_VD_060_1-complete,56,0.11 %
01_HOOFD_491a-complete,54,0.1 %
08_AWB45_060-complete,50,0.1 %
08_AWB45_170-complete,50,0.1 %
15_NGV_010-complete,50,0.1 %
03_VD_060_0-complete,49,0.09 %
06_VD_030_1a-complete,49,0.09 %
06_VD_060_2a-complete,48,0.09 %
08_AWB45_070_1-complete,45,0.09 %
10_UOV_040-complete,45,0.09 %
08_AWB45_070_2-complete,42,0.08 %
10_UOV_050_3-complete,42,0.08 %
05_EIND_065-complete,42,0.08 %
01_HOOFD_490_3a-complete,41,0.08 %
08_AWB45_090_2-complete,41,0.08 %
10_UOV_045-complete,39,0.07 %
10_UOV_039-complete,39,0.07 %
01_BB_630-complete,37,0.07 %
04_BPT_021-complete,36,0.07 %
04_BPT_029-complete,36,0.07 %
05_EIND_025-complete,34,0.07 %
10_UOV_035-complete,34,0.07 %
10_UOV_180-complete,33,0.06 %
04_BPT_040-complete,32,0.06 %
01_HOOFD_532-complete,31,0.06 %
08_AWB45_075-complete,31,0.06 %
08_AWB45_070_4-complete,31,0.06 %
01_HOOFD_440_1a-complete,31,0.06 %
01_HOOFD_530a-complete,30,0.06 %
08_AWB45_090_0-complete,29,0.06 %
08_AWB45_090_3-complete,29,0.06 %
08_AWB45_070_1a-complete,29,0.06 %
01_HOOFD_459-complete,29,0.06 %
01_HOOFD_460a-complete,29,0.06 %
08_AWB45_090_2a-complete,28,0.05 %
08_AWB45_070_3-complete,28,0.05 %
10_UOV_050_0-complete,28,0.05 %
06_VD_030_3a-complete,27,0.05 %
10_UOV_050_2a-complete,27,0.05 %
10_UOV_030a-complete,27,0.05 %
01_HOOFD_800-complete,27,0.05 %
01_HOOFD_516a-complete,26,0.05 %
06_VD_030_5-complete,25,0.05 %
11_AH_II_040-complete,25,0.05 %
11_AH_II_130-complete,25,0.05 %
01_HOOFD_210_2-complete,24,0.05 %
01_HOOFD_181-complete,23,0.04 %
04_BPT_060-complete,23,0.04 %
11_AH_II_035-complete,23,0.04 %
05_EIND_030_0-complete,22,0.04 %
10_UOV_050_4-complete,22,0.04 %
06_VD_030_5a-complete,22,0.04 %
01_HOOFD_350_2-complete,22,0.04 %
01_HOOFD_350_1-complete,22,0.04 %
01_HOOFD_210_1-complete,22,0.04 %
11_AH_II_030-complete,22,0.04 %
11_AH_II_020-complete,22,0.04 %
11_AH_II_036-complete,21,0.04 %
11_AH_II_037_2-complete,21,0.04 %
11_AH_II_037_1-complete,21,0.04 %
11_AH_II_070_2-complete,21,0.04 %
01_HOOFD_451-complete,20,0.04 %
11_AH_II_070_1-complete,20,0.04 %
08_AWB45_070_3a-complete,19,0.04 %
05_EIND_070-complete,19,0.04 %
05_EIND_011-complete,18,0.03 %
01_HOOFD_809b-complete,18,0.03 %
06_VD_060_4-complete,18,0.03 %
08_AWB45_090_1-complete,18,0.03 %
06_VD_020_2-complete,18,0.03 %
06_VD_020_1-complete,18,0.03 %
06_VD_030-complete,18,0.03 %
06_VD_040-complete,18,0.03 %
06_VD_050-complete,18,0.03 %
05_EIND_050-complete,18,0.03 %
05_EIND_040-complete,18,0.03 %
11_AH_II_140-complete,18,0.03 %
11_AH_II_145-complete,18,0.03 %
12_AP_010-complete,16,0.03 %
06_VD_100-complete,16,0.03 %
06_VD_140-complete,16,0.03 %
01_BB_730-complete,16,0.03 %
01_HOOFD_492_1-complete,16,0.03 %
01_HOOFD_492_2-complete,16,0.03 %
11_AH_II_040_d-complete,16,0.03 %
04_BPT_009-complete,15,0.03 %
11_AH_II_040b-complete,15,0.03 %
11_AH_II_040c-complete,15,0.03 %
11_AH_II_070_3a-complete,15,0.03 %
11_AH_II_040a-complete,15,0.03 %
11_AH_II_070_3-complete,15,0.03 %
10_UOV_041b-complete,14,0.03 %
10_UOV_065-complete,14,0.03 %
01_HOOFD_530b-complete,13,0.02 %
08_AWB45_070_5-complete,13,0.02 %
10_UOV_210-complete,13,0.02 %
10_UOV_070-complete,13,0.02 %
10_UOV_080-complete,13,0.02 %
10_UOV_120-complete,12,0.02 %
10_UOV_100-complete,12,0.02 %
09_AH_I_020-complete,12,0.02 %
01_HOOFD_420-complete,11,0.02 %
09_AH_I_040-complete,11,0.02 %
08_AWB45_070_5a-complete,10,0.02 %
05_EIND_060-complete,10,0.02 %
01_HOOFD_195_1-complete,10,0.02 %
12_AP_UOV_010-complete,10,0.02 %
01_HOOFD_191-complete,10,0.02 %
08_AWB45_050-complete,10,0.02 %
10_UOV_061-complete,10,0.02 %
01_HOOFD_101b-complete,10,0.02 %
01_HOOFD_400-complete,9,0.02 %
02_DRZ_020_2-complete,9,0.02 %
08_AWB45_110-complete,9,0.02 %
08_AWB45_150-complete,9,0.02 %
01_HOOFD_192-complete,9,0.02 %
01_BB_765-complete,9,0.02 %
13_CRD_020-complete,8,0.02 %
01_HOOFD_195_2-complete,8,0.02 %
02_DRZ_020_1-complete,8,0.02 %
08_AWB45_051_1-complete,7,0.01 %
04_BPT_050-complete,7,0.01 %
04_BPT_041-complete,7,0.01 %
01_HOOFD_446_0-complete,7,0.01 %
01_HOOFD_447-complete,7,0.01 %
01_HOOFD_805-complete,6,0.01 %
02_DRZ_030_2-complete,6,0.01 %
01_HOOFD_332-complete,5,0.01 %
08_AWB45_090_4-complete,5,0.01 %
10_UOV_170-complete,5,0.01 %
10_UOV_160-complete,5,0.01 %
10_UOV_150-complete,5,0.01 %
07_OPS_070-complete,5,0.01 %
10_UOV_190_1-complete,5,0.01 %
10_UOV_190_2-complete,5,0.01 %
11_AH_II_020_2-complete,5,0.01 %
11_AH_II_055-complete,5,0.01 %
11_AH_II_020_1-complete,5,0.01 %
11_AH_II_070-complete,5,0.01 %
08_AWB45_175-complete,5,0.01 %
02_DRZ_030_1-complete,5,0.01 %
02_DRZ_045-complete,5,0.01 %
02_DRZ_035-complete,5,0.01 %
10_UOV_031-complete,5,0.01 %
01_HOOFD_350_0-complete,4,0.01 %
10_UOV_055-complete,4,0.01 %
08_AWB45_051_2-complete,4,0.01 %
10_UOV_020-complete,4,0.01 %
01_HOOFD_390-complete,4,0.01 %
08_AWB45_180-complete,4,0.01 %
07_OPS_020-complete,4,0.01 %
07_OPS_050-complete,4,0.01 %
11_AH_II_100-complete,4,0.01 %
01_BB_755-complete,4,0.01 %
01_HOOFD_210_0-complete,4,0.01 %
05_EIND_020_0-complete,4,0.01 %
01_HOOFD_080-complete,3,0.01 %
08_AWB45_052-complete,3,0.01 %
14_VRIJ_011-complete,3,0.01 %
12_AP_011-complete,3,0.01 %
12_AP_020_1-complete,3,0.01 %
12_AP_020_2-complete,3,0.01 %
12_AP_030-complete,3,0.01 %
08_AWB45_080-complete,3,0.01 %
01_BB_640-complete,3,0.01 %
01_HOOFD_140-complete,3,0.01 %
01_HOOFD_150-complete,3,0.01 %
01_HOOFD_160-complete,3,0.01 %
01_BB_590-complete,3,0.01 %
01_BB_740-complete,3,0.01 %
01_BB_635-complete,3,0.01 %
01_BB_636-complete,3,0.01 %
01_BB_545-complete,3,0.01 %
01_BB_546-complete,3,0.01 %
11_AH_II_050-complete,3,0.01 %
13_CRD_030_0-complete,3,0.01 %
07_OPS_051-complete,3,0.01 %
07_OPS_055-complete,3,0.01 %
07_OPS_060_0-complete,3,0.01 %
07_OPS_071-complete,3,0.01 %
07_OPS_075-complete,3,0.01 %
07_OPS_080_0-complete,3,0.01 %
01_HOOFD_410_0-complete,2,0 %
12_AP_020_0-complete,2,0 %
12_AP_025-complete,2,0 %
12_AP_050-complete,2,0 %
12_AP_060-complete,2,0 %
12_AP_055-complete,2,0 %
01_HOOFD_410_2-complete,2,0 %
01_HOOFD_410_1-complete,2,0 %
02_DRZ_010_2-complete,2,0 %
02_DRZ_010_1-complete,2,0 %
02_DRZ_030-complete,2,0 %
01_BB_670-complete,2,0 %
01_BB_700-complete,2,0 %
01_BB_670_2-complete,2,0 %
01_HOOFD_580_2-complete,2,0 %
01_HOOFD_550-complete,2,0 %
01_HOOFD_570-complete,2,0 %
01_HOOFD_580_1-complete,2,0 %
07_OPS_080_1-complete,2,0 %
07_OPS_080_2-complete,2,0 %
10_UOV_066-complete,2,0 %
10_UOV_140-complete,2,0 %
01_HOOFD_280_1-complete,2,0 %
01_HOOFD_280_2-complete,2,0 %
08_AWB45_WAW_010-complete,2,0 %
01_BB_760-complete,2,0 %
07_OPS_060_1-complete,2,0 %
07_OPS_060_2-complete,2,0 %
01_BB_550_1-complete,2,0 %
01_BB_550_2-complete,2,0 %
01_BB_766-complete,2,0 %
11_AH_II_080_1-complete,2,0 %
11_AH_II_080_2-complete,2,0 %
16_LGSV_010-complete,2,0 %
11_AH_II_037_3-complete,2,0 %
01_HOOFD_331-complete,1,0 %
14_VRIJ_020_0-complete,1,0 %
14_VRIJ_035-complete,1,0 %
14_VRIJ_015-complete,1,0 %
10_UOV_190-complete,1,0 %
10_UOV_200-complete,1,0 %
01_BB_550-complete,1,0 %
01_BB_560-complete,1,0 %
01_HOOFD_600_2-complete,1,0 %
01_HOOFD_590-complete,1,0 %
01_HOOFD_600_1-complete,1,0 %
12_AP_040-complete,1,0 %
14_VRIJ_170-complete,1,0 %
01_BB_680-complete,1,0 %
99_NOCODE_04-complete,1,0 %
12_AP_UOV_011-complete,1,0 %
12_AP_UOV_030-complete,1,0 %
12_AP_UOV_050-complete,1,0 %
12_AP_UOV_020_1-complete,1,0 %
12_AP_UOV_020_2-complete,1,0 %
11_AH_II_080-complete,1,0 %
11_AH_II_110-complete,1,0 %
01_HOOFD_498-complete,1,0 %
01_HOOFD_496_2-complete,1,0 %
01_HOOFD_496_1-complete,1,0 %
01_HOOFD_446_1-complete,1,0 %
01_HOOFD_446_2-complete,1,0 %
01_HOOFD_456-complete,1,0 %
09_AH_I_030-complete,1,0 %
02_DRZ_020_0-complete,1,0 %
02_DRZ_030_0-complete,1,0 %
01_BB_670_1-complete,1,0 %
01_HOOFD_197-complete,1,0 %
14_VRIJ_150-complete,1,0 %
14_VRIJ_030_2-complete,1,0 %
14_VRIJ_060_0-complete,1,0 %
14_VRIJ_110-complete,1,0 %
14_VRIJ_175-complete,1,0 %
14_VRIJ_030_4-complete,1,0 %
14_VRIJ_060_3-complete,1,0 %
14_VRIJ_030_5a-complete,1,0 %
14_VRIJ_060_2a-complete,1,0 %
14_VRIJ_030_1-complete,1,0 %
14_VRIJ_030_1a-complete,1,0 %
14_VRIJ_055-complete,1,0 %
14_VRIJ_030_5-complete,1,0 %
14_VRIJ_060_2-complete,1,0 %
