Activity,Frequency,Relative frequency
04_BPT_060-complete,25,0.05 %
08_AWB45_110-complete,24,0.05 %
08_AWB45_150-complete,24,0.05 %
01_OLO_120-complete,23,0.05 %
01_HOOFD_814-complete,23,0.05 %
01_OLO_190-complete,22,0.05 %
01_HOOFD_815-complete,21,0.04 %
01_OLO_140-complete,21,0.04 %
01_OLO_160-complete,21,0.04 %
11_AH_II_040-complete,19,0.04 %
01_HOOFD_101b-complete,18,0.04 %
11_AH_II_035-complete,17,0.04 %
01_BB_730-complete,17,0.04 %
01_HOOFD_809b-complete,17,0.04 %
08_AWB45_070_1a-complete,16,0.03 %
08_AWB45_175-complete,16,0.03 %
06_VD_030_3-complete,16,0.03 %
11_AH_II_020_2-complete,16,0.03 %
11_AH_II_055-complete,16,0.03 %
11_AH_II_020_1-complete,16,0.03 %
11_AH_II_070-complete,16,0.03 %
11_AH_II_100-complete,16,0.03 %
08_AWB45_075-complete,15,0.03 %
08_AWB45_090_3-complete,15,0.03 %
08_AWB45_070_4-complete,15,0.03 %
08_AWB45_070_5-complete,15,0.03 %
01_OLO_240-complete,15,0.03 %
08_AWB45_090_0-complete,14,0.03 %
08_AWB45_070_5a-complete,14,0.03 %
08_AWB45_090_2a-complete,14,0.03 %
05_EIND_070-complete,14,0.03 %
11_AH_II_130-complete,14,0.03 %
10_UOV_041b-complete,14,0.03 %
04_BPT_009-complete,13,0.03 %
08_AWB45_090_1-complete,13,0.03 %
06_VD_070-complete,12,0.03 %
06_VD_060-complete,12,0.03 %
01_HOOFD_191-complete,12,0.03 %
01_HOOFD_192-complete,12,0.03 %
05_EIND_050-complete,11,0.02 %
05_EIND_040-complete,11,0.02 %
01_HOOFD_451-complete,11,0.02 %
08_OLO_100-complete,10,0.02 %
04_BPT_050-complete,10,0.02 %
04_BPT_041-complete,10,0.02 %
14_VRIJ_020_1-complete,10,0.02 %
05_EIND_020_0-complete,10,0.02 %
01_HOOFD_195_1-complete,9,0.02 %
10_UOV_210-complete,9,0.02 %
06_VD_060_1-complete,9,0.02 %
01_HOOFD_055-complete,8,0.02 %
01_HOOFD_170-complete,8,0.02 %
08_AWB45_070_3-complete,8,0.02 %
14_VRIJ_020_2-complete,8,0.02 %
14_VRIJ_011-complete,8,0.02 %
01_HOOFD_265-complete,7,0.01 %
10_UOV_020-complete,7,0.01 %
10_UOV_070-complete,7,0.01 %
10_UOV_080-complete,7,0.01 %
10_UOV_120-complete,7,0.01 %
12_AP_UOV_010-complete,7,0.01 %
14_VRIJ_030_1-complete,7,0.01 %
14_VRIJ_030_1a-complete,7,0.01 %
14_VRIJ_030_2-complete,7,0.01 %
01_HOOFD_195_2-complete,6,0.01 %
08_AWB45_080-complete,6,0.01 %
08_AWB45_180-complete,6,0.01 %
10_UOV_100-complete,6,0.01 %
05_EIND_060-complete,5,0.01 %
14_VRIJ_015-complete,5,0.01 %
10_UOV_190_1-complete,5,0.01 %
10_UOV_190_2-complete,5,0.01 %
07_OPS_020-complete,5,0.01 %
01_HOOFD_490_3a-complete,5,0.01 %
14_VRIJ_030_4-complete,5,0.01 %
06_VD_050-complete,4,0.01 %
06_VD_100-complete,4,0.01 %
06_VD_140-complete,4,0.01 %
01_HOOFD_210_2-complete,4,0.01 %
01_BB_550-complete,4,0.01 %
01_BB_560-complete,4,0.01 %
01_BB_590-complete,4,0.01 %
14_VRIJ_030-complete,4,0.01 %
14_VRIJ_035-complete,4,0.01 %
10_UOV_150-complete,4,0.01 %
10_UOV_160-complete,4,0.01 %
10_UOV_170-complete,4,0.01 %
10_OLO_100-complete,4,0.01 %
01_OLO_180-complete,4,0.01 %
01_BB_755-complete,4,0.01 %
10_UOV_061-complete,4,0.01 %
10_UOV_065-complete,4,0.01 %
01_HOOFD_446_0-complete,4,0.01 %
01_HOOFD_447-complete,4,0.01 %
14_VRIJ_030_5a-complete,4,0.01 %
14_VRIJ_030_5-complete,4,0.01 %
14_VRIJ_055-complete,4,0.01 %
14_VRIJ_060_0-complete,4,0.01 %
10_UOV_055-complete,3,0.01 %
09_AH_I_020-complete,3,0.01 %
09_AH_I_040-complete,3,0.01 %
06_VD_020_2-complete,3,0.01 %
06_VD_020_1-complete,3,0.01 %
06_VD_030-complete,3,0.01 %
06_VD_040-complete,3,0.01 %
01_HOOFD_350_2-complete,3,0.01 %
06_VD_060_4-complete,3,0.01 %
07_OPS_070-complete,3,0.01 %
10_UOV_075-complete,3,0.01 %
10_UOV_076-complete,3,0.01 %
01_BB_545-complete,3,0.01 %
01_BB_546-complete,3,0.01 %
11_AH_II_030-complete,3,0.01 %
11_AH_II_020-complete,3,0.01 %
11_AH_II_036-complete,3,0.01 %
11_AH_II_037_1-complete,3,0.01 %
11_AH_II_037_2-complete,3,0.01 %
11_AH_II_070_1-complete,3,0.01 %
11_AH_II_070_2-complete,3,0.01 %
07_OPS_050-complete,3,0.01 %
07_OPS_051-complete,3,0.01 %
07_OPS_060_0-complete,3,0.01 %
07_OPS_055-complete,3,0.01 %
14_VRIJ_060_1-complete,3,0.01 %
01_HOOFD_350_0-complete,2,0 %
01_HOOFD_331-complete,2,0 %
01_HOOFD_390-complete,2,0 %
01_HOOFD_400-complete,2,0 %
01_HOOFD_420-complete,2,0 %
01_HOOFD_456-complete,2,0 %
07_OPS_030-complete,2,0 %
07_OPS_071-complete,2,0 %
01_BB_766-complete,2,0 %
11_OLO_100-complete,2,0 %
08_AWB45_050-complete,2,0 %
08_AWB45_052-complete,2,0 %
14_VRIJ_060_2a-complete,2,0 %
14_VRIJ_060_4-complete,2,0 %
14_VRIJ_060_2-complete,2,0 %
14_VRIJ_110-complete,2,0 %
14_VRIJ_060_3-complete,2,0 %
01_HOOFD_530b-complete,2,0 %
01_BB_636-complete,2,0 %
01_BB_635-complete,2,0 %
12_AP_010-complete,1,0 %
12_AP_011-complete,1,0 %
12_AP_020_0-complete,1,0 %
12_AP_025-complete,1,0 %
12_AP_020_1-complete,1,0 %
12_AP_020_2-complete,1,0 %
01_HOOFD_410_2-complete,1,0 %
01_HOOFD_410_1-complete,1,0 %
10_UOV_190-complete,1,0 %
10_UOV_200-complete,1,0 %
07_OPS_040-complete,1,0 %
07_OPS_080_2-complete,1,0 %
07_OPS_080_1-complete,1,0 %
01_HOOFD_210_1-complete,1,0 %
10_OLO_120-complete,1,0 %
06_OLO_100-complete,1,0 %
02_DRZ_020_1-complete,1,0 %
02_DRZ_020_2-complete,1,0 %
02_DRZ_030_1-complete,1,0 %
02_DRZ_030_2-complete,1,0 %
02_DRZ_035-complete,1,0 %
02_DRZ_045-complete,1,0 %
12_AP_UOV_011-complete,1,0 %
12_AP_UOV_030-complete,1,0 %
12_AP_UOV_060-complete,1,0 %
12_AP_UOV_055-complete,1,0 %
10_UOV_061_2-complete,1,0 %
12_AP_UOV_020_1-complete,1,0 %
12_AP_UOV_025-complete,1,0 %
12_AP_UOV_020_2-complete,1,0 %
12_AP_UOV_050-complete,1,0 %
01_HOOFD_080-complete,1,0 %
14_VRIJ_020_0-complete,1,0 %
11_AH_II_040c-complete,1,0 %
11_AH_II_070_3a-complete,1,0 %
11_AH_II_040b-complete,1,0 %
11_AH_II_040a-complete,1,0 %
11_AH_II_040_d-complete,1,0 %
11_AH_II_070_3-complete,1,0 %
11_AH_II_140-complete,1,0 %
11_AH_II_145-complete,1,0 %
14_VRIJ_150-complete,1,0 %
14_VRIJ_175-complete,1,0 %
07_OPS_080_0-complete,1,0 %
07_OPS_075-complete,1,0 %
01_BB_700-complete,1,0 %
01_HOOFD_532-complete,1,0 %
