Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123
Variant 35,19,5,"7 days, 10 hours",643795000,"5 days, 20 hours",506124000,Accepted + In Progress,Accepted + In Progress,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 36,19,7,"10 days, 10 hours",900707000,"11 days, 1 hour",954383736,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 37,18,7,"8 days, 5 hours",712159500,"9 days, 5 hours",796272833,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - Vendor,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 38,18,8,"10 days, 12 hours",909830500,"10 days, 20 hours",939164444,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 39,17,12,"7 days, 16 hours",665723000,"10 days, 22 hours",944944117,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 40,17,10,"7 days, 11 hours",645222000,"7 days, 7 hours",631578470,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 41,16,5,"3 days, 2 hours",266739000,"13 days, 18 hours",1188070312,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Vendor,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 42,16,6,"7 days, 12 hours",650883000,"13 days, 13 hours",1173249750,Accepted + In Progress,Accepted + In Progress,Accepted + Wait,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 43,15,6,"13 days, 15 hours",1178138000,"13 days, 6 hours",1145205333,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - User,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 44,14,8,"7 days, 13 hours",655157000,"7 days, 14 hours",655630357,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - Vendor,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 45,14,5,"7 days, 5 hours",625288500,"11 days, 20 hours",1024080214,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - Implementation,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 46,14,6,"7 days, 14 hours",656709000,"8 days, 56 mins",694600642,Accepted + In Progress,Accepted + In Progress,Completed + Resolved,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 47,14,7,"7 days, 17 hours",666462500,"8 days, 1 hour",695238714,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 48,14,8,"10 days, 11 hours",906845500,"15 days, 12 hours",1340918000,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 49,12,10,"7 days, 22 hours",684829000,"8 days, 3 hours",703271166,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 50,12,8,"12 days, 7 hours",1064429500,"14 days, 4 hours",1227595500,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 51,12,9,"7 days, 17 hours",667206500,"8 days, 13 hours",741307750,Accepted + In Progress,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 52,11,11,"17 days, 7 hours",1496762000,"15 days, 1 hour",1302942636,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Assigned,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 53,11,9,"7 days, 13 hours",653240000,"8 days, 17 hours",753167727,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Queued + Awaiting Assignment,Accepted + In Progress,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 54,11,8,"8 days, 7 hours",719720000,"11 days, 5 hours",969590090,Accepted + In Progress,Accepted + In Progress,Queued + Awaiting Assignment,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 55,11,8,"10 days, 9 hours",897459000,"12 days, 1 hour",1042928000,Accepted + In Progress,Accepted + In Progress,Accepted + Wait - User,Queued + Awaiting Assignment,Accepted + In Progress,Accepted + Wait - User,Completed + Resolved,Completed + Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
