Activity,Frequency,Relative frequency
01_HOOFD_350_2-complete,10,0.02 %
07_OPS_051-complete,10,0.02 %
08_AWB45_070_3a-complete,10,0.02 %
06_VD_050-complete,9,0.02 %
01_HOOFD_350_1-complete,9,0.02 %
01_BB_730-complete,9,0.02 %
07_OPS_075-complete,9,0.02 %
01_HOOFD_350_0-complete,9,0.02 %
01_HOOFD_809c-complete,9,0.02 %
10_UOV_020-complete,8,0.01 %
06_VD_020_2-complete,8,0.01 %
06_VD_020_1-complete,8,0.01 %
06_VD_030-complete,8,0.01 %
06_VD_040-complete,8,0.01 %
05_EIND_040-complete,8,0.01 %
05_EIND_070-complete,8,0.01 %
08_AWB45_180-complete,8,0.01 %
01_HOOFD_550-complete,8,0.01 %
01_HOOFD_570-complete,8,0.01 %
01_HOOFD_580_1-complete,8,0.01 %
01_HOOFD_590-complete,8,0.01 %
10_UOV_210-complete,8,0.01 %
07_OPS_080_1-complete,8,0.01 %
01_HOOFD_181-complete,8,0.01 %
07_OPS_060_0-complete,8,0.01 %
08_AWB45_052-complete,8,0.01 %
01_HOOFD_265-complete,7,0.01 %
05_EIND_050-complete,7,0.01 %
01_HOOFD_600_1-complete,7,0.01 %
06_VD_060_4-complete,7,0.01 %
01_HOOFD_800-complete,7,0.01 %
10_UOV_150-complete,7,0.01 %
10_UOV_160-complete,7,0.01 %
10_UOV_170-complete,7,0.01 %
07_OPS_080_2-complete,7,0.01 %
10_UOV_061-complete,7,0.01 %
14_VRIJ_020_1-complete,7,0.01 %
01_HOOFD_446_0-complete,7,0.01 %
01_HOOFD_447-complete,7,0.01 %
01_HOOFD_331-complete,7,0.01 %
12_AP_040-complete,7,0.01 %
01_HOOFD_530b-complete,7,0.01 %
01_HOOFD_195_1-complete,6,0.01 %
06_VD_100-complete,6,0.01 %
06_VD_140-complete,6,0.01 %
01_HOOFD_410_1-complete,6,0.01 %
08_AWB45_080-complete,6,0.01 %
04_BPT_041-complete,6,0.01 %
01_HOOFD_456-complete,5,0.01 %
01_HOOFD_210_2-complete,5,0.01 %
01_HOOFD_400-complete,5,0.01 %
01_HOOFD_580_2-complete,5,0.01 %
09_AH_I_020-complete,5,0.01 %
09_AH_I_040-complete,5,0.01 %
14_VRIJ_020_2-complete,5,0.01 %
04_BPT_050-complete,5,0.01 %
08_AWB45_175-complete,5,0.01 %
11_AH_II_037_3-complete,5,0.01 %
07_OPS_071-complete,5,0.01 %
01_HOOFD_210_0-complete,5,0.01 %
10_UOV_055-complete,5,0.01 %
01_HOOFD_410_2-complete,4,0.01 %
01_HOOFD_600_2-complete,4,0.01 %
15_NGV_020_2-complete,4,0.01 %
15_NGV_040-complete,4,0.01 %
15_NGV_020_1-complete,4,0.01 %
15_NGV_030-complete,4,0.01 %
01_HOOFD_012-complete,4,0.01 %
16_LGSV_010-complete,4,0.01 %
07_OPS_080_0-complete,4,0.01 %
10_UOV_075-complete,3,0.01 %
10_UOV_076-complete,3,0.01 %
01_BB_755-complete,3,0.01 %
14_VRIJ_015-complete,3,0.01 %
14_VRIJ_030-complete,3,0.01 %
14_VRIJ_011-complete,3,0.01 %
14_VRIJ_030_1-complete,3,0.01 %
14_VRIJ_030_2-complete,3,0.01 %
14_VRIJ_030_4-complete,3,0.01 %
08_AWB45_051_2-complete,3,0.01 %
08_AWB45_051_1-complete,3,0.01 %
07_OPS_030-complete,3,0.01 %
07_OPS_040-complete,3,0.01 %
07_OPS_045-complete,3,0.01 %
01_HOOFD_197-complete,3,0.01 %
01_HOOFD_195_2-complete,2,0 %
05_EIND_060-complete,2,0 %
12_AP_UOV_050-complete,2,0 %
10_UOV_066-complete,2,0 %
10_UOV_140-complete,2,0 %
12_AP_UOV_020_1-complete,2,0 %
12_AP_UOV_020_2-complete,2,0 %
12_AP_UOV_030-complete,2,0 %
01_HOOFD_505-complete,2,0 %
14_VRIJ_035-complete,2,0 %
01_OLO_120-complete,2,0 %
01_OLO_140-complete,2,0 %
01_OLO_160-complete,2,0 %
01_OLO_180-complete,2,0 %
10_OLO_100-complete,2,0 %
01_OLO_190-complete,2,0 %
01_BB_765-complete,2,0 %
11_AH_II_055-complete,2,0 %
14_VRIJ_030_5-complete,2,0 %
14_VRIJ_055-complete,2,0 %
14_VRIJ_060_2-complete,2,0 %
14_VRIJ_060_3-complete,2,0 %
08_AWB45_090_4-complete,2,0 %
05_EIND_020_0-complete,2,0 %
06_VD_011-complete,2,0 %
10_UOV_061_2-complete,2,0 %
10_UOV_061_1-complete,2,0 %
14_VRIJ_030_1a-complete,2,0 %
01_HOOFD_448-complete,2,0 %
01_HOOFD_198-complete,2,0 %
01_HOOFD_332-complete,2,0 %
07_OPS_061_0-complete,2,0 %
01_HOOFD_340_1-complete,1,0 %
10_UOV_190_1-complete,1,0 %
10_UOV_190_2-complete,1,0 %
01_BB_640-complete,1,0 %
01_BB_650_1-complete,1,0 %
01_BB_650_2-complete,1,0 %
12_AP_UOV_011-complete,1,0 %
10_UOV_190-complete,1,0 %
10_UOV_200-complete,1,0 %
08_OLO_100-complete,1,0 %
11_AH_II_020_2-complete,1,0 %
11_AH_II_020_1-complete,1,0 %
11_AH_II_070-complete,1,0 %
01_HOOFD_210_1-complete,1,0 %
11_AH_II_060-complete,1,0 %
11_AH_II_090_1-complete,1,0 %
11_AH_II_090_2-complete,1,0 %
14_VRIJ_060_1-complete,1,0 %
16_LGSD_010-complete,1,0 %
06_VD_016-complete,1,0 %
01_BB_546-complete,1,0 %
01_BB_766-complete,1,0 %
01_BB_545-complete,1,0 %
01_BB_760-complete,1,0 %
14_VRIJ_060_0-complete,1,0 %
14_VRIJ_110-complete,1,0 %
14_VRIJ_030_5a-complete,1,0 %
14_VRIJ_060_2a-complete,1,0 %
14_VRIJ_175-complete,1,0 %
14_VRIJ_150-complete,1,0 %
01_HOOFD_080-complete,1,0 %
10_UOV_041-complete,1,0 %
10_UOV_041a-complete,1,0 %
07_OPS_061_1-complete,1,0 %
07_OPS_061_2-complete,1,0 %
