Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116
Variant 224,1,41,"72 days, 7 hours",6247097000,"72 days, 7 hours",6247097000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_100-complete,01_HOOFD_490_3-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 225,1,23,"337 days, 11 hours",29157196000,"337 days, 11 hours",29157196000,01_HOOFD_010-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_090-complete,01_HOOFD_100-complete,05_EIND_020-complete,05_EIND_030_2-complete,05_EIND_050-complete,05_EIND_010-complete,05_EIND_030_1-complete,05_EIND_040-complete,05_EIND_070-complete,01_HOOFD_790-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 226,1,43,"69 days, 7 hours",5987841000,"69 days, 7 hours",5987841000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_490_3-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_005-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_100-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 227,1,52,"73 days, 6 hours",6332038000,"73 days, 6 hours",6332038000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,08_AWB45_020_2-complete,01_HOOFD_050-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,05_EIND_010-complete,01_HOOFD_130-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,08_AWB45_010-complete,01_HOOFD_100-complete,08_AWB45_040-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 228,1,41,"65 days, 7 hours",5641744000,"65 days, 7 hours",5641744000,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_490_3-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_100-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 229,1,39,"62 days, 15 hours",5413636000,"62 days, 15 hours",5413636000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_100-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 230,1,40,"96 days, 8 hours",8324539000,"96 days, 8 hours",8324539000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_490_3-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 231,1,3,"1 day, 11 hours",129071000,"1 day, 11 hours",129071000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 232,1,41,"58 days, 18 hours",5079391000,"58 days, 18 hours",5079391000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_100-complete,01_HOOFD_490_3-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_540-complete,06_VD_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_260-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 233,1,40,"92 days, 8 hours",7978961000,"92 days, 8 hours",7978961000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 234,1,39,"65 days, 6 hours",5640764000,"65 days, 6 hours",5640764000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 235,1,43,"57 days, 7 hours",4950803000,"57 days, 7 hours",4950803000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_065_2-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_490_3-complete,09_AH_I_020-complete,09_AH_I_040-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 236,1,39,"55 days, 19 hours",4823434000,"55 days, 19 hours",4823434000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 237,1,18,"293 days, 11 hours",25356356000,"293 days, 11 hours",25356356000,05_EIND_020-complete,01_HOOFD_790-complete,05_EIND_030_2-complete,01_HOOFD_010-complete,05_EIND_050-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,05_EIND_010-complete,05_EIND_030_1-complete,05_EIND_040-complete,05_EIND_070-complete,01_HOOFD_800-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 238,1,41,"56 days, 9 hours",4873018000,"56 days, 9 hours",4873018000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_490_3-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_100-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 239,1,41,"110 days, 10 hours",9541582000,"110 days, 10 hours",9541582000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 240,1,39,"59 days, 6 hours",5122537000,"59 days, 6 hours",5122537000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_180-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 241,1,42,"109 days, 10 hours",9455160000,"109 days, 10 hours",9455160000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_540-complete,01_HOOFD_100-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_490_3-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,01_BB_770-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 242,1,39,"83 days, 8 hours",7201394000,"83 days, 8 hours",7201394000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_260-complete,01_HOOFD_250-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 243,1,43,"218 days, 8 hours",18866125000,"218 days, 8 hours",18866125000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_490_3-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_540-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_BB_540-complete,01_HOOFD_510_2-complete,01_HOOFD_530-complete,01_HOOFD_100-complete,01_BB_550-complete,01_BB_560-complete,01_BB_590-complete,01_BB_630-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 244,1,41,"79 days, 8 hours",6856161000,"79 days, 8 hours",6856161000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_190_2-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_540-complete,01_HOOFD_180-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_205-complete,01_HOOFD_190_1-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_490_2-complete,01_HOOFD_510_1-complete,01_HOOFD_100-complete,01_HOOFD_530-complete,01_HOOFD_520-complete,01_BB_540-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
