Activity,Frequency,Relative frequency
interc.consult vervolg klinisch  anesthe,2,0 %
vulva       - partiele vulvectomie,2,0 %
zwangerschapsreactie,2,0 %
echo pancreas en milt,2,0 %
echo en rontgen als ass. bij drainage ab,2,0 %
echo thorax,2,0 %
delta-4-androsteendion,2,0 %
immunoglobuline a                    iga,2,0 %
echo buikwand,2,0 %
echogeleide als ass.bij punctie-biopsie,2,0 %
vrw.gesl.org- adhesiolysis ovarium plus,2,0 %
cytologisch onderzoek - vulva -,2,0 %
anti-hav ig of igg-elisa of ria- in een,2,0 %
vulva       - hechten van vulva,2,0 %
lymf.syst.  - lymfadenectomie dmv laparo,2,0 %
rituximab,2,0 %
blaas       - voorste en achterste exent,2,0 %
immunoglobuline m                    igm,2,0 %
niet declarabele dagverpleging-bv klin.p,2,0 %
igm-as. tegen cmv virus,2,0 %
anti-epstein-barr vca igm mbv elisa,2,0 %
anti-epstein-barr na igg mbv elisa,2,0 %
anti-epstein-barr vca igg mbv elisa,2,0 %
longfunctie - spirometrie,2,0 %
longfunctie - stroomvolume curve,2,0 %
proteine-c-activiteit,2,0 %
igm anticardiolipine mbv elisa,2,0 %
igg anticardiolipine mbv elisa,2,0 %
antist. specifiek mbv elisa histonen of,2,0 %
proteine-s-antigeen -totaal,2,0 %
proteine-s-antigeen -vrij,2,0 %
factor ii mutatie mbv pcr,2,0 %
factor v leiden -r506q- mbv dna-test,2,0 %
echo bovenbeen,2,0 %
echo arteriae carotis sinistra,2,0 %
echo arteriae carotis dextra,2,0 %
echo pleura,2,0 %
pleura      - punctie - diagnostisch,2,0 %
totale gebitsstatus,2,0 %
echogeleide als ass. bij punctie abdomen,2,0 %
cytologisch onderzoek tbv bevolkingsonde,2,0 %
bloedstollingsfactor v - kwantitatief -,2,0 %
bloedstollingsfactor vii - coagulatie,2,0 %
vulva       - therapeutische punctie aan,2,0 %
infuus      - bloed,2,0 %
thorax      - zuigdrainage behandeling a,2,0 %
wormeieren - uitgebreid -vervolg-,2,0 %
opname volgens barsonie,2,0 %
lymf.syst.  - lymfeklierextirpatie para-,2,0 %
buikoverzicht - staand,2,0 %
anti-rubella igg -elisa - in een monster,2,0 %
buik        - adhesiolyse en biopsie dmv,2,0 %
cbr -coxsackie-b-900-virus,2,0 %
opspuiten hickman-katheter,2,0 %
lymf.syst.  - regionale lymfeklierdissec,2,0 %
huid        - verwijderen retentie cyste,2,0 %
ro-gel. als ass. bij inbrengen endoproth,2,0 %
interc.consult poliklinisch,2,0 %
perif.vaten - inbrengen port-a-cath syst,2,0 %
rontgenonderzoek onvolledig,2,0 %
neuronspecifiek enolase,2,0 %
ct knie,2,0 %
homocystine chromatografisch,1,0 %
lithium - spoed,1,0 %
cytologisch onderzoek - pancreaspunctie,1,0 %
onderbeen,1,0 %
vulva       - incisie - overige,1,0 %
tympanometrie - standaard - audiologisch,1,0 %
cytologisch onderzoek - nierpunctie -,1,0 %
uterus      - intra-uterine device inbre,1,0 %
mri bijnier,1,0 %
blaas       - catheter a demeure - inbre,1,0 %
sikkelcel,1,0 %
hematologie - ontstek.scint.tot.lichaam,1,0 %
determinatie en orient. typering -dmv ce,1,0 %
fenytoine kwantitatief,1,0 %
sinus,1,0 %
voet,1,0 %
antinucleaire factor -anf-,1,0 %
morfometrie,1,0 %
punctie cyste tumor ed. door radioloog o,1,0 %
anesthesie  - bij vervoer beademde patie,1,0 %
uterus      - curettage - diagnostisch,1,0 %
cervix      - curettage,1,0 %
vagina      - tension-free vaginal tape,1,0 %
vagina      - colpocleisis lefort,1,0 %
echografie-doppler vena cava inferior en,1,0 %
vitamine b3,1,0 %
widal agglutinatie - yersinia 3,1,0 %
widal agglutinatie - yersinia 9,1,0 %
dikke darm  - colonoscopie met biopsie,1,0 %
darm        - katheteriseren stoma,1,0 %
hart - functie gated bloodpool rust,1,0 %
echografie-doppler v.jugularis,1,0 %
cervix      - portio - lasercoagulatie,1,0 %
huidplastiek- z-plastiek huid hoofd en h,1,0 %
pyelografie retrograad,1,0 %
duodenum    - oesofagogastroduodenoscopi,1,0 %
ro-gel. als ass. bij punktie - biopsie t,1,0 %
ovarium     - excisie cyste via laparosc,1,0 %
perif.vaten - doppler-onderz.oppervl.ven,1,0 %
perif.vaten - duplexscan arterieel cruro,1,0 %
buik        - second-look-oper.stagering,1,0 %
buik        - excisie patholog.afwijking,1,0 %
17-hydroxyprogesteron mbv ria,1,0 %
enkel,1,0 %
vrw.gesl.org- aspiratie of microcurett.-,1,0 %
bronchus    - bronch.toilet door verpl.-,1,0 %
heparine anti-xa,1,0 %
ro-gel. als ass. bij drainage nier-nefro,1,0 %
echo nier,1,0 %
occult bloed - kwalitatief-,1,0 %
buik        - omentumplastiek,1,0 %
hart        - resuscitatie,1,0 %
uterus      - extirpatie abdom.totaal me,1,0 %
ct retroperitoneum,1,0 %
buik        - littekenbreuk - plastische,1,0 %
vagina      - operatie vesicovaginale fi,1,0 %
huid        - transcutane po2 en pco2 me,1,0 %
glucosebepaling -kwantitatief -,1,0 %
cytostatica - infuustherapie,1,0 %
echogeleide als ass. bij drainage intrap,1,0 %
vagina      - vaginotomie,1,0 %
blaas       - bladder wash-out,1,0 %
duodenum    - inbrengen voedingssonde in,1,0 %
e.m.g.      - elektromyografisch onderzo,1,0 %
ct arterien hersenen,1,0 %
abortus     - overige technieken,1,0 %
echografie  - transuretraal prostaat,1,0 %
eiwitspectrum -elektroforese kwn. bep. f,1,0 %
immunoglobuline g                    igg,1,0 %
paraproteine typering mbv monospecifieke,1,0 %
eiwitfractionering mbv ief,1,0 %
immunofixatie,1,0 %
immunoforese na concentratie,1,0 %
drainageprocedure onder rontgencontrole,1,0 %
antigeendetectie - direct preparaat - hs,1,0 %
antigeendetectie - direct preparaat - vz,1,0 %
interc.consult klinisch  reumatologie,1,0 %
legionella antigeen sneltest,1,0 %
complementdeficientie ond.bij afwezigh.a,1,0 %
sacrum-os coccygis-s.i.gewrichten,1,0 %
lymf.syst.  - lymfekliertoilet diep - li,1,0 %
tuba uterina- excisie parovariale cyste,1,0 %
ph-meting,1,0 %
spraakaudiometrie  -  standaard - audiol,1,0 %
mandibula-kaakgewricht,1,0 %
mri orbita,1,0 %
high sensitive crp -hscrp- nefelometrisc,1,0 %
bloedstollingsfactor xi - activiteit,1,0 %
bloedstollingsfactor xii - activiteit,1,0 %
bloedstollingsfactor ix - coagulatie,1,0 %
uterus      - excisie-destructie path.af,1,0 %
hyperthermie behandeling - h-1 -,1,0 %
inbrengen voedings- of lavagesonde duode,1,0 %
interc.consult vervolg klinisch  chirurg,1,0 %
vrw.gesl.org- adhesiolysis ovaria-tubae,1,0 %
ct pancreas en milt,1,0 %
von willebrand profiel mbv protease,1,0 %
cytologisch onderzoek - schildklier  pun,1,0 %
urethra     - dilatatie meatus,1,0 %
antist. tegen acetylcholinereceptoren,1,0 %
ovarium     - ovariopexie -excl.torsie-,1,0 %
prostaatspecifiek antigeen -psa- mbv imm,1,0 %
antist. tegen hiv-e of hiv-c,1,0 %
direct ondz. naar rs-virus antigeen mbv,1,0 %
para-influenza-1-virus mbv pcr,1,0 %
humaan metapneumovirus kwl. mbv dna-rna-,1,0 %
antigeendetectie mbv ift -influenza-a,1,0 %
antigeendetectie mbv ift -influenza-b,1,0 %
zink,1,0 %
vrw.gesl.org- operatie van clitoris nno,1,0 %
uterus      - extirp.abd.vag.rad.- lymfa,1,0 %
dunne darm  - mech.ileus-adhes.streng.-i,1,0 %
cytologisch onderzoek - hersenen -,1,0 %
anti-chlamydia iga mbv elisa,1,0 %
anti-chlamydia igg mbv ind.ift,1,0 %
endoretrograde cholangiografie,1,0 %
cystografie retrograad,1,0 %
kleurproef sabin-feldman - leishmania,1,0 %
toxoplasmose mbv eia toxo-igg,1,0 %
toxoplasmose mbv eia toxo-igm,1,0 %
anti-rubella igm -elisa,1,0 %
anti-parvovirus -ig of igg antist. ind.,1,0 %
anti-parvovirus igm mbv ind.ift,1,0 %
tuba uterina- aanbrengen clips tijdens l,1,0 %
partus      - klin.of poliklin.met voorb,1,0 %
sect.caesar.- met voorbehandeling en kra,1,0 %
mri tractus urogenitalis,1,0 %
ro-gel. als ass. bij punctie - biopsie l,1,0 %
339849d toegangschir- c.v.d.-catheter v.,1,0 %
hemoglobinen -abnormaal incl. hba2,1,0 %
igg-index,1,0 %
albumineratio,1,0 %
immuno-elektroforese liquor na concentra,1,0 %
lever       - excisie tumor of metastase,1,0 %
gipskamer-ok - gebruik,1,0 %
standaard materiaal n.n.o.,1,0 %
zwachtelverband sling - aanleggen,1,0 %
partiele gebitsstatus,1,0 %
oesofagografie - oraal,1,0 %
1-25-oh2-vitamine d mbv hplc,1,0 %
mri art. en ven.abdomen,1,0 %
vagina      - extirpatie van vagina met,1,0 %
tuba uterina- reanastomose na sterilisat,1,0 %
obductie,1,0 %
anesthesie  - epiduraal met bloedpatch,1,0 %
dikke darm  - resectie sigmoid met prima,1,0 %
dikke darm  - appendectomie acuut via me,1,0 %
totaal t3 - trijoodthyronine mbv radiois,1,0 %
t3-uptake latente bindingscap. geb. tbg,1,0 %
echo bekken inhoud muv anatomiecode 83 t,1,0 %
uterus      - tot. laparoscopische hyste,1,0 %
plaatsen van v.cava filter,1,0 %
eerste hulp - niet seh afdeling - elders,1,0 %
buik        - second-look-oper.ovariumca,1,0 %
itraconazol mbv hplc,1,0 %
bepaling hepatitis-be-antigeen,1,0 %
bepaling antist. hepatitis-be-antigeen,1,0 %
