Activity,Frequency,Relative frequency
01_HOOFD_110_2-complete,468,0.79 %
01_HOOFD_110_1-complete,465,0.79 %
01_HOOFD_520-complete,462,0.78 %
01_HOOFD_530-complete,461,0.78 %
01_HOOFD_250-complete,440,0.74 %
01_HOOFD_260-complete,440,0.74 %
16_LGSV_010-complete,421,0.71 %
01_HOOFD_490_1a-complete,421,0.71 %
13_CRD_010-complete,419,0.71 %
01_HOOFD_510_0-complete,416,0.7 %
01_HOOFD_490_5a-complete,416,0.7 %
01_HOOFD_510_2a-complete,416,0.7 %
01_HOOFD_494a-complete,416,0.7 %
01_HOOFD_040-complete,373,0.63 %
01_HOOFD_060-complete,372,0.63 %
08_AWB45_020_1-complete,363,0.61 %
08_AWB45_010-complete,361,0.61 %
08_AWB45_020_2-complete,361,0.61 %
01_HOOFD_815-complete,359,0.61 %
01_HOOFD_814-complete,359,0.61 %
08_AWB45_030-complete,341,0.58 %
01_HOOFD_790-complete,333,0.56 %
01_HOOFD_101-complete,330,0.56 %
01_HOOFD_490_3-complete,330,0.56 %
01_HOOFD_130-complete,328,0.56 %
16_LGSD_010-complete,317,0.54 %
01_BB_775-complete,313,0.53 %
01_HOOFD_205-complete,300,0.51 %
01_HOOFD_470-complete,295,0.5 %
01_HOOFD_196-complete,286,0.48 %
01_HOOFD_190_1-complete,280,0.47 %
08_AWB45_040-complete,278,0.47 %
01_HOOFD_190_2-complete,278,0.47 %
07_OPS_010-complete,269,0.46 %
01_HOOFD_811-complete,266,0.45 %
01_HOOFD_090-complete,262,0.44 %
01_HOOFD_270-complete,241,0.41 %
01_HOOFD_809-complete,218,0.37 %
08_AWB45_025-complete,212,0.36 %
01_HOOFD_101b-complete,201,0.34 %
15_NGV_010-complete,190,0.32 %
09_AWB45_005-complete,179,0.3 %
08_AWB45_045-complete,167,0.28 %
01_HOOFD_519-complete,166,0.28 %
01_HOOFD_250_0-complete,155,0.26 %
08_AWB45_020_0-complete,154,0.26 %
01_HOOFD_190-complete,148,0.25 %
01_HOOFD_193-complete,146,0.25 %
08_AWB45_051_0-complete,145,0.25 %
01_HOOFD_809c-complete,141,0.24 %
01_HOOFD_532_0-complete,139,0.24 %
01_HOOFD_540-complete,127,0.21 %
01_HOOFD_800-complete,124,0.21 %
01_BB_765-complete,116,0.2 %
01_HOOFD_516-complete,115,0.19 %
04_BPT_020-complete,98,0.17 %
01_HOOFD_100_0-complete,97,0.16 %
04_BPT_030-complete,85,0.14 %
01_HOOFD_440_1-complete,83,0.14 %
01_HOOFD_445-complete,83,0.14 %
01_HOOFD_440_2-complete,83,0.14 %
01_HOOFD_460-complete,81,0.14 %
01_HOOFD_465-complete,81,0.14 %
10_UOV_010-complete,80,0.14 %
08_AWB45_060-complete,79,0.13 %
10_UOV_050_2-complete,78,0.13 %
10_UOV_030-complete,78,0.13 %
10_UOV_060-complete,78,0.13 %
01_BB_630-complete,78,0.13 %
08_AWB45_070_2-complete,78,0.13 %
08_AWB45_070_1-complete,78,0.13 %
04_BPT_010-complete,77,0.13 %
08_AWB45_090_2-complete,76,0.13 %
10_UOV_050_1-complete,74,0.13 %
08_AWB45_110-complete,73,0.12 %
08_AWB45_150-complete,72,0.12 %
01_HOOFD_099-complete,72,0.12 %
01_HOOFD_446-complete,62,0.1 %
08_AWB45_170-complete,62,0.1 %
01_HOOFD_450-complete,61,0.1 %
04_BPT_021-complete,61,0.1 %
04_BPT_029-complete,61,0.1 %
01_HOOFD_455-complete,60,0.1 %
08_AWB45_090_1-complete,49,0.08 %
10_UOV_040-complete,47,0.08 %
99_NOCODE_02-complete,46,0.08 %
08_AWB45_175-complete,45,0.08 %
01_BB_730-complete,43,0.07 %
10_UOV_045-complete,40,0.07 %
10_UOV_050_3-complete,38,0.06 %
08_AWB45_070_4-complete,36,0.06 %
08_AWB45_070_5-complete,36,0.06 %
08_AWB45_075-complete,35,0.06 %
08_AWB45_090_3-complete,34,0.06 %
10_UOV_035-complete,33,0.06 %
10_UOV_180-complete,32,0.05 %
01_HOOFD_460a-complete,31,0.05 %
01_HOOFD_440_1a-complete,31,0.05 %
01_HOOFD_459-complete,31,0.05 %
10_UOV_039-complete,30,0.05 %
08_AWB45_070_1a-complete,30,0.05 %
01_HOOFD_191-complete,30,0.05 %
01_HOOFD_192-complete,30,0.05 %
10_UOV_050_2a-complete,29,0.05 %
10_UOV_030a-complete,29,0.05 %
10_UOV_050_0-complete,29,0.05 %
01_HOOFD_055-complete,29,0.05 %
01_HOOFD_516a-complete,28,0.05 %
08_AWB45_090_0-complete,28,0.05 %
01_HOOFD_530b-complete,27,0.05 %
08_AWB45_090_2a-complete,27,0.05 %
08_AWB45_080-complete,27,0.05 %
08_AWB45_180-complete,27,0.05 %
10_UOV_050_4-complete,25,0.04 %
05_EIND_020-complete,25,0.04 %
08_AWB45_070_5a-complete,24,0.04 %
08_AWB45_070_3-complete,24,0.04 %
05_EIND_030_1-complete,23,0.04 %
08_AWB45_050-complete,22,0.04 %
04_BPT_009-complete,21,0.04 %
05_EIND_030_2-complete,21,0.04 %
01_HOOFD_451-complete,21,0.04 %
04_BPT_040-complete,20,0.03 %
10_UOV_041b-complete,18,0.03 %
01_HOOFD_809b-complete,18,0.03 %
14_VRIJ_011-complete,18,0.03 %
04_BPT_060-complete,17,0.03 %
14_VRIJ_030_2-complete,15,0.03 %
14_VRIJ_030_1a-complete,15,0.03 %
14_VRIJ_030_1-complete,15,0.03 %
12_AP_010-complete,14,0.02 %
14_VRIJ_030_4-complete,14,0.02 %
04_BPT_041-complete,13,0.02 %
12_AP_020_1-complete,13,0.02 %
12_AP_020_2-complete,13,0.02 %
14_VRIJ_060_0-complete,13,0.02 %
14_VRIJ_030_5a-complete,13,0.02 %
14_VRIJ_055-complete,13,0.02 %
14_VRIJ_030_5-complete,13,0.02 %
14_VRIJ_060_2-complete,13,0.02 %
14_VRIJ_060_3-complete,13,0.02 %
14_VRIJ_060_2a-complete,13,0.02 %
05_EIND_050-complete,13,0.02 %
05_EIND_040-complete,13,0.02 %
10_UOV_210-complete,13,0.02 %
12_AP_011-complete,12,0.02 %
12_AP_025-complete,12,0.02 %
12_AP_030-complete,12,0.02 %
05_EIND_025-complete,12,0.02 %
06_VD_020-complete,12,0.02 %
06_VD_030_2-complete,12,0.02 %
06_VD_030_1-complete,12,0.02 %
14_VRIJ_110-complete,12,0.02 %
14_VRIJ_175-complete,12,0.02 %
14_VRIJ_150-complete,12,0.02 %
05_EIND_070-complete,12,0.02 %
01_HOOFD_350_2-complete,12,0.02 %
01_HOOFD_350_1-complete,12,0.02 %
12_AP_020_0-complete,11,0.02 %
12_AP_050-complete,11,0.02 %
12_AP_060-complete,11,0.02 %
12_AP_055-complete,11,0.02 %
10_UOV_120-complete,11,0.02 %
05_EIND_065-complete,11,0.02 %
06_VD_060_3-complete,11,0.02 %
06_VD_035-complete,11,0.02 %
06_VD_030_4-complete,11,0.02 %
01_HOOFD_505-complete,11,0.02 %
01_BB_590-complete,11,0.02 %
01_BB_550-complete,11,0.02 %
10_UOV_070-complete,10,0.02 %
10_UOV_080-complete,10,0.02 %
06_VD_060_2-complete,10,0.02 %
06_VD_030_5-complete,10,0.02 %
06_VD_060_2a-complete,10,0.02 %
03_VD_060_0-complete,10,0.02 %
06_VD_030_1a-complete,10,0.02 %
14_VRIJ_060_1-complete,10,0.02 %
14_VRIJ_060_4-complete,10,0.02 %
01_HOOFD_195_1-complete,10,0.02 %
10_UOV_065-complete,9,0.02 %
12_AP_UOV_010-complete,9,0.02 %
05_EIND_030_0-complete,9,0.02 %
11_AH_II_040-complete,9,0.02 %
06_VD_030_5a-complete,9,0.02 %
01_BB_560-complete,9,0.02 %
01_HOOFD_210_0-complete,8,0.01 %
01_HOOFD_532-complete,8,0.01 %
05_EIND_011-complete,8,0.01 %
11_AH_II_035-complete,8,0.01 %
99_NOCODE_03-complete,8,0.01 %
10_UOV_055-complete,8,0.01 %
01_HOOFD_210_2-complete,8,0.01 %
01_HOOFD_195_2-complete,8,0.01 %
04_BPT_050-complete,8,0.01 %
11_AH_II_036-complete,7,0.01 %
11_AH_II_037_2-complete,7,0.01 %
11_AH_II_030-complete,7,0.01 %
11_AH_II_020-complete,7,0.01 %
11_AH_II_037_1-complete,7,0.01 %
01_HOOFD_420-complete,7,0.01 %
10_UOV_020-complete,7,0.01 %
10_UOV_100-complete,7,0.01 %
01_HOOFD_197-complete,6,0.01 %
01_HOOFD_210_1-complete,6,0.01 %
10_UOV_200-complete,6,0.01 %
10_UOV_190-complete,6,0.01 %
01_BB_545-complete,5,0.01 %
11_AH_II_070_2-complete,5,0.01 %
11_AH_II_070_1-complete,5,0.01 %
01_HOOFD_012-complete,5,0.01 %
14_VRIJ_020_1-complete,5,0.01 %
01_HOOFD_390-complete,5,0.01 %
01_HOOFD_400-complete,5,0.01 %
10_UOV_170-complete,5,0.01 %
10_UOV_160-complete,5,0.01 %
10_UOV_150-complete,5,0.01 %
01_BB_755-complete,5,0.01 %
01_BB_766-complete,5,0.01 %
01_HOOFD_080-complete,5,0.01 %
10_UOV_061-complete,5,0.01 %
11_AH_II_040b-complete,4,0.01 %
11_AH_II_040c-complete,4,0.01 %
11_AH_II_130-complete,4,0.01 %
11_AH_II_145-complete,4,0.01 %
11_AH_II_040_d-complete,4,0.01 %
11_AH_II_040a-complete,4,0.01 %
11_AH_II_140-complete,4,0.01 %
08_AWB45_070_3a-complete,4,0.01 %
01_HOOFD_456-complete,4,0.01 %
14_VRIJ_020_2-complete,4,0.01 %
14_VRIJ_035-complete,4,0.01 %
01_BB_546-complete,4,0.01 %
01_HOOFD_181-complete,3,0.01 %
10_UOV_061_2-complete,3,0.01 %
01_OLO_120-complete,3,0.01 %
12_AP_UOV_050-complete,3,0.01 %
12_AP_UOV_011-complete,3,0.01 %
12_AP_UOV_030-complete,3,0.01 %
11_AH_II_060-complete,3,0.01 %
01_HOOFD_350_0-complete,3,0.01 %
01_HOOFD_331-complete,3,0.01 %
11_AH_II_020_2-complete,3,0.01 %
11_AH_II_020_1-complete,3,0.01 %
11_AH_II_070-complete,3,0.01 %
11_AH_II_100-complete,3,0.01 %
01_BB_640-complete,3,0.01 %
01_BB_700-complete,3,0.01 %
01_BB_670-complete,3,0.01 %
01_BB_600-complete,3,0.01 %
01_BB_610-complete,3,0.01 %
01_HOOFD_160-complete,3,0.01 %
01_HOOFD_140-complete,3,0.01 %
01_HOOFD_150-complete,3,0.01 %
07_OPS_020-complete,3,0.01 %
07_OPS_050-complete,3,0.01 %
07_OPS_051-complete,3,0.01 %
07_OPS_060_0-complete,3,0.01 %
07_OPS_055-complete,3,0.01 %
07_OPS_070-complete,3,0.01 %
07_OPS_071-complete,3,0.01 %
07_OPS_080_0-complete,3,0.01 %
07_OPS_075-complete,3,0.01 %
10_UOV_061_1-complete,2,0 %
11_AH_II_070_3a-complete,2,0 %
11_AH_II_070_3-complete,2,0 %
06_VD_030_3-complete,2,0 %
10_UOV_061_0-complete,2,0 %
12_AP_UOV_020_0-complete,2,0 %
12_AP_UOV_060-complete,2,0 %
12_AP_UOV_025-complete,2,0 %
12_AP_UOV_055-complete,2,0 %
01_HOOFD_805-complete,2,0 %
14_VRIJ_015-complete,2,0 %
11_AH_II_050-complete,2,0 %
11_AH_II_090-complete,2,0 %
11_AH_II_120-complete,2,0 %
11_AH_II_080-complete,2,0 %
11_AH_II_110-complete,2,0 %
10_UOV_140-complete,2,0 %
10_UOV_066-complete,2,0 %
09_AH_I_020-complete,2,0 %
01_BB_680-complete,2,0 %
01_OLO_140-complete,2,0 %
01_OLO_160-complete,2,0 %
01_OLO_190-complete,2,0 %
01_OLO_240-complete,2,0 %
01_BB_760-complete,2,0 %
08_AWB45_051_2-complete,2,0 %
11_AH_II_037_3-complete,2,0 %
99_NOCODE_01-complete,2,0 %
01_HOOFD_410_0-complete,2,0 %
06_VD_030_3a-complete,1,0 %
01_OLO_139-complete,1,0 %
11_OLO_190-complete,1,0 %
11_AH_II_060_d-complete,1,0 %
11_AH_II_060b-complete,1,0 %
11_AH_II_090_1-complete,1,0 %
11_AH_II_060a-complete,1,0 %
11_AH_II_060c-complete,1,0 %
11_AH_II_090_2-complete,1,0 %
99_NOCODE_05-complete,1,0 %
01_HOOFD_332-complete,1,0 %
14_VRIJ_020_0-complete,1,0 %
01_HOOFD_182-complete,1,0 %
05_EIND_060-complete,1,0 %
01_BB_670_2-complete,1,0 %
09_AH_I_040-complete,1,0 %
11_AH_II_055-complete,1,0 %
01_BB_780_3-complete,1,0 %
01_BB_790-complete,1,0 %
01_BB_740-complete,1,0 %
01_BB_780_1-complete,1,0 %
01_BB_780_2-complete,1,0 %
01_BB_550_2-complete,1,0 %
15_NGV_020_1-complete,1,0 %
06_VD_070-complete,1,0 %
06_VD_060-complete,1,0 %
10_UOV_075-complete,1,0 %
10_UOV_076-complete,1,0 %
08_OLO_100-complete,1,0 %
01_HOOFD_280_1-complete,1,0 %
01_HOOFD_280_2-complete,1,0 %
08_AWB45_WAW_010-complete,1,0 %
10_UOV_090-complete,1,0 %
10_UOV_091_2-complete,1,0 %
10_UOV_091_1-complete,1,0 %
12_AP_UOV_020_2-complete,1,0 %
12_AP_UOV_020_1-complete,1,0 %
08_AWB45_051_1-complete,1,0 %
06_VD_060_1-complete,1,0 %
06_VD_060_4-complete,1,0 %
05_EIND_020_0-complete,1,0 %
01_HOOFD_198-complete,1,0 %
09_AH_I_030-complete,1,0 %
12_AP_040-complete,1,0 %
06_VD_011-complete,1,0 %
01_HOOFD_490_3a-complete,1,0 %
