Variant,Cases,Events,Median duration,Median duration (milliseconds),Mean duration,Mean duration (milliseconds),Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,Step 50,Step 51,Step 52,Step 53,Step 54,Step 55,Step 56,Step 57,Step 58,Step 59,Step 60,Step 61,Step 62,Step 63,Step 64,Step 65,Step 66,Step 67,Step 68,Step 69,Step 70,Step 71,Step 72,Step 73,Step 74,Step 75,Step 76,Step 77,Step 78,Step 79,Step 80,Step 81,Step 82,Step 83,Step 84,Step 85,Step 86,Step 87,Step 88,Step 89,Step 90,Step 91,Step 92,Step 93,Step 94,Step 95,Step 96,Step 97,Step 98,Step 99,Step 100,Step 101,Step 102,Step 103,Step 104,Step 105,Step 106,Step 107,Step 108,Step 109,Step 110,Step 111,Step 112,Step 113,Step 114,Step 115,Step 116,Step 117,Step 118,Step 119,Step 120,Step 121,Step 122,Step 123,Step 124
Variant 11,2,37,"34 days, 11 hours",2979000000,"34 days, 11 hours",2979000000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_065_2-complete,01_HOOFD_110-complete,01_HOOFD_101-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_2-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 12,2,36,"34 days, 23 hours",3022200000,"34 days, 23 hours",3022200000,01_HOOFD_010-complete,01_HOOFD_011-complete,03_GBH_005-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,02_DRZ_010-complete,01_HOOFD_050-complete,04_BPT_005-complete,01_HOOFD_065_1-complete,01_HOOFD_101-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,09_AWB45_005-complete,01_HOOFD_200-complete,01_HOOFD_195-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_330-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,11_AH_II_010-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_491-complete,01_HOOFD_495-complete,01_HOOFD_510_1-complete,01_HOOFD_510_2-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 13,2,7,"5 days, 12 hours",477022000,"5 days, 12 hours",477022000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_015-complete,03_GBH_005-complete,01_HOOFD_020-complete,01_HOOFD_030_2-complete,01_HOOFD_030_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 14,2,5,2 days,172800000,2 days,172800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,03_GBH_005-complete,01_HOOFD_015-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 15,2,6,"3 days, 10 hours",296617500,"3 days, 10 hours",296617500,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_015-complete,01_HOOFD_030_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 16,2,13,"30 days, 30 mins",2593800000,"30 days, 30 mins",2593800000,01_HOOFD_010-complete,01_HOOFD_011-complete,01_HOOFD_020-complete,01_HOOFD_015-complete,01_HOOFD_030_1-complete,01_HOOFD_030_2-complete,04_BPT_005-complete,04_BPT_009-complete,04_BPT_020-complete,04_BPT_030-complete,02_DRZ_010-complete,04_BPT_021-complete,04_BPT_029-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 17,1,36,"29 days, 11 hours",2546166000,"29 days, 11 hours",2546166000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_170-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_265-complete,01_HOOFD_270-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 18,1,18,"21 days, 14 hours",1867979000,"21 days, 14 hours",1867979000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,08_AWB45_020_2-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 19,1,39,"35 days, 14 hours",3076818000,"35 days, 14 hours",3076818000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_250-complete,01_HOOFD_265-complete,01_HOOFD_260-complete,01_HOOFD_270-complete,01_HOOFD_330-complete,01_HOOFD_340_1-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_500-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 20,1,61,"1 year, 22 days",33440400000,"1 year, 22 days",33440400000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_100-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,06_VD_010-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_450-complete,01_HOOFD_490_3-complete,01_HOOFD_195_2-complete,01_HOOFD_460-complete,10_UOV_050_2-complete,01_HOOFD_530-complete,01_HOOFD_510_2-complete,01_HOOFD_195_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_375-complete,01_HOOFD_380-complete,01_HOOFD_440_1-complete,01_HOOFD_440_2-complete,01_HOOFD_445-complete,01_HOOFD_451-complete,01_HOOFD_455-complete,01_HOOFD_465-complete,10_UOV_010-complete,10_UOV_020-complete,10_UOV_040-complete,10_UOV_045-complete,10_UOV_050_1-complete,10_UOV_060-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_BB_630-complete,01_HOOFD_790-complete,01_BB_770-complete,10_UOV_030-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 21,1,38,"68 days, 15 hours",5932224000,"68 days, 15 hours",5932224000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_065_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_130-complete,01_HOOFD_190_2-complete,01_HOOFD_100-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_270-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,09_AH_I_010-complete,01_HOOFD_375-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,06_VD_010-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_HOOFD_050-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 22,1,60,"69 days, 16 hours",6019445000,"69 days, 16 hours",6019445000,01_HOOFD_010-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,08_AWB45_020_2-complete,06_VD_020_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_040-complete,06_VD_070-complete,06_VD_010-complete,06_VD_020_1-complete,06_VD_030-complete,06_VD_040-complete,08_AWB45_030-complete,06_VD_050-complete,06_VD_060-complete,06_VD_100-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,05_EIND_010-complete,01_HOOFD_110-complete,06_VD_140-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_265-complete,01_HOOFD_270-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 23,1,35,"43 days, 12 hours",3760551000,"43 days, 12 hours",3760551000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_250-complete,01_HOOFD_265-complete,01_HOOFD_260-complete,01_HOOFD_270-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_490_3-complete,01_HOOFD_500-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 24,1,37,"157 days, 12 hours",13609855000,"157 days, 12 hours",13609855000,01_HOOFD_010-complete,01_HOOFD_065_2-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_100-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,06_VD_010-complete,05_EIND_010-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_250-complete,01_HOOFD_265-complete,01_HOOFD_260-complete,01_HOOFD_270-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_3-complete,01_HOOFD_510_2-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 25,1,48,"88 days, 10 hours",7642702000,"88 days, 10 hours",7642702000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_100-complete,08_AWB45_020_2-complete,01_HOOFD_065_2-complete,08_AWB45_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,05_EIND_010-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,08_AWB45_170-complete,06_VD_010-complete,01_HOOFD_490_3-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_250-complete,01_HOOFD_260-complete,01_HOOFD_265-complete,01_HOOFD_270-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_510_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 26,1,42,"91 days, 16 hours",7923483000,"91 days, 16 hours",7923483000,01_HOOFD_010-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_050-complete,01_HOOFD_055-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,01_HOOFD_100-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_130-complete,01_HOOFD_170-complete,01_HOOFD_200-complete,01_HOOFD_205-complete,01_HOOFD_250-complete,01_HOOFD_265-complete,01_HOOFD_260-complete,01_HOOFD_270-complete,09_AH_I_010-complete,01_HOOFD_370-complete,01_HOOFD_380-complete,01_HOOFD_430-complete,01_HOOFD_470-complete,01_HOOFD_480-complete,05_EIND_010-complete,06_VD_010-complete,01_HOOFD_490_1-complete,01_HOOFD_490_2-complete,01_HOOFD_500-complete,01_HOOFD_510_1-complete,01_HOOFD_520-complete,01_HOOFD_530-complete,01_HOOFD_510_2-complete,01_HOOFD_490_3-complete,01_BB_540-complete,01_BB_770-complete,01_HOOFD_790-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant 27,1,47,"91 days, 17 hours",7924347000,"91 days, 17 hours",7924347000,01_HOOFD_010-complete,01_HOOFD_030_2-complete,01_HOOFD_100-complete,01_HOOFD_065_2-complete,06_VD_020_2-complete,08_AWB45_020_2-complete,08_AWB45_040-complete,01_HOOFD_190_2-complete,01_HOOFD_190_2-complete,01_HOOFD_015-complete,01_HOOFD_020-complete,01_HOOFD_030_1-complete,01_HOOFD_040-complete,01_HOOFD_060-complete,04_BPT_010-complete,04_BPT_020-complete,04_BPT_030-complete,01_HOOFD_065_1-complete,06_VD_010-complete,06_VD_020_1-complete,06_VD_030-complete,06_VD_040-complete,01_HOOFD_100-complete,01_HOOFD_130-complete,01_HOOFD_050-complete,05_EIND_010-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,08_AWB45_010-complete,08_AWB45_020_1-complete,08_AWB45_030-complete,01_HOOFD_130-complete,01_HOOFD_110-complete,01_HOOFD_120-complete,01_HOOFD_180-complete,01_HOOFD_190_1-complete,01_HOOFD_200-complete,08_AWB45_060-complete,08_AWB45_070_1-complete,08_AWB45_070_3-complete,06_VD_070-complete,06_VD_050-complete,06_VD_060-complete,08_AWB45_070_2-complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
